workbook,sheet,range,table_title,configuration,throttle_pct,thrust_g,current_a,power_input_w,rpm,efficiency_g_per_w,torque_nm,power_output_w,temperature,derived_ct,derived_cp,used_for_coefficient,note
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,69,7858,31.9,1467.4,5533,5.4,2.05,1247.3,,0.074503,0.027407,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,72,8398,35.3,1626.1,5719,5.2,2.2,1382.2,,0.074528,0.027503,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,75,8969,39.2,1802.2,5909,5,2.35,1531.9,,0.074559,0.027634,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,78,9573,43.4,1997.8,6104,4.8,2.51,1698.2,,0.074577,0.027790,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,81,10208,48.1,2214.4,6301,4.6,2.68,1882.3,,0.074629,0.028004,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,84,10866,53.3,2451.9,6495,4.4,2.86,2084.1,,0.074764,0.028311,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,87,11535,58.9,2707.5,6681,4.3,3.05,2301.4,,0.075010,0.028723,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,90,12197,64.7,2975.3,6851,4.1,3.23,2529,,0.075427,0.029272,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H6:R28,V6215 210KV VSC 22.1x7.4 Motor Propeller Pull Test Data,V6215 210KV + VSC 22.1x7.4,100,13879,81.2,3733.4,7220,3.7,3.68,3173.4,,0.077280,0.031382,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
C:/Users/junyeopkwon/Downloads/DB 정리.xlsx,기체 Spec,H31:R53,V6212 180KV Motor Propeller Thrust Test Data,V6212 180KV + VSC 22.1x7.4,33,1845,4,183.7,2709,10,0.5,136.2,75°C,0.072973,0.029233,Y,엑셀 기체 Spec 시트의 공식 홈페이지 pull test 데이터. 전체 33-100% 행을 prop XML Ct/Cp 산정에 사용.
